# Time, p, Ux, Uy, Uz, e
1.175580000000000017e-05 8.973435000000000043e-07 1.253617000000000048e-07 8.799502000000000170e-05 7.202284000000000041e-06 1.485363000000000037e-06
1.194549999999999939e-05 8.878559999999999532e-07 1.237026000000000108e-07 8.781900999999999455e-05 7.181507999999999987e-06 1.508009000000000040e-06
1.213409999999999958e-05 8.785333000000000255e-07 1.219058999999999878e-07 8.785620999999999481e-05 7.156858000000000147e-06 1.529951999999999908e-06
1.232150000000000053e-05 8.711360000000000523e-07 1.209109999999999900e-07 8.793422000000000391e-05 7.127749999999999646e-06 1.560239999999999947e-06
1.250789999999999929e-05 8.641998999999999774e-07 1.190513999999999936e-07 8.798406999999999463e-05 7.090260999999999673e-06 1.585387999999999982e-06
1.269339999999999946e-05 8.583120000000000164e-07 1.178180999999999954e-07 8.811333999999999822e-05 7.049320000000000128e-06 1.616717999999999985e-06
1.287790000000000083e-05 8.546180000000000099e-07 1.164055000000000030e-07 8.841114000000000069e-05 7.001311999999999689e-06 1.649696999999999979e-06
1.306160000000000044e-05 8.510818999999999787e-07 1.154509000000000005e-07 8.874560999999999344e-05 6.949285000000000331e-06 1.687372000000000003e-06
1.324449999999999999e-05 8.477135000000000026e-07 1.143322999999999974e-07 8.931680999999999909e-05 6.892644999999999633e-06 1.727690999999999956e-06
1.342669999999999971e-05 8.443198000000000481e-07 1.133537999999999996e-07 9.001567000000000411e-05 6.834508999999999992e-06 1.767722000000000005e-06
1.360819999999999958e-05 8.417120000000000398e-07 1.130506999999999947e-07 9.102647999999999859e-05 6.777714000000000309e-06 1.818978000000000103e-06
1.378899999999999961e-05 8.394042999999999933e-07 1.120647000000000016e-07 9.193026000000000030e-05 6.720603999999999767e-06 1.864786999999999981e-06
1.396930000000000024e-05 8.378211999999999796e-07 1.119942000000000011e-07 9.304876999999999376e-05 6.668751999999999945e-06 1.922478999999999860e-06
1.414889999999999933e-05 8.365685999999999833e-07 1.110360999999999946e-07 9.399256000000000256e-05 6.617679999999999632e-06 1.972664999999999857e-06
1.432809999999999924e-05 8.354118000000000056e-07 1.111477999999999995e-07 9.504631000000000581e-05 6.573505000000000178e-06 2.032647999999999872e-06
1.450679999999999975e-05 8.346660999999999833e-07 1.108355000000000001e-07 9.595492000000000658e-05 6.532576000000000116e-06 2.093577999999999982e-06
